jh.number,name,field.fire,tree,base,live.dead,live.dead-edit,bark.char,bpca.carbon,bpca.soil,b6.total
6606,"Beetle Kill 2018, PCF, Tree 1, Beetle Killed, Bark",PCF,pcf.1,nobase,dead,dead,Bark,12.4,8.02,0.2
6607,"Beetle Kill 2018, PCF, Tree 1, Beetle Killed, Char",PCF,pcf.1,nobase,dead,dead,Wood,33.91,25.1,0.23
6608,"Beetle Kill 2018, PCF, Tree 2, Beetle Killed, Bark",PCF,pcf.2,nobase,dead,dead,Bark,21.28,12.55,0.2
6609,"Beetle Kill 2018, PCF, Tree 2, Beetle Killed, Char",PCF,pcf.2,nobase,dead,dead,Wood,35.9,25.82,0.23
6610,"Beetle Kill 2018, PCF, Tree 3, Beetle Killed, Bark",PCF,pcf.3,nobase,dead,dead,Bark,15.29,8.81,0.2
6611,"Beetle Kill 2018, PCF, Tree 3, Beetle Killed, Char",PCF,pcf.3,nobase,dead,dead,Wood,35.12,23.56,0.21
6612,"Beetle Kill 2018, PCF, Tree 4, Live@Fire, Bark",PCF,pcf.4,nobase,live,live,Bark,4.88,3.76,0.19
6613,"Beetle Kill 2018, PCF, Tree 4, Live@Fire, Wood",PCF,pcf.4,nobase,live,live,Wood,0.68,0.31,0.26
6614,"Beetle Kill 2018, PCF, Tree 5, Live@Fire, Bark",PCF,pcf.5,nobase,live,live,Bark,6.89,3.89,0.22
6615,"Beetle Kill 2018, PCF, Tree 5, Live@Fire, Wood",PCF,pcf.5,nobase,live,live,Wood,0.2,0.09,0.48
6616,"Beetle Kill 2018, PCF, Tree 6, Live@Fire, Bark",PCF,pcf.6,nobase,live,live,Bark,10.19,5.59,0.19
6617,"Beetle Kill 2018, PCF, Tree 6, Live@Fire, Wood",PCF,pcf.6,nobase,live,live,Wood,0.4,0.19,0
6618,"Beetle Kill 2018, Lab, Tree 2, Dead",Lab,lab.2,nobase,live,,,55.18,43.11,0.24
6619,"Beetle Kill 2018, Lab, Tree 3, Dead",Lab,lab.3,nobase,live,,,33.08,22.14,0.28
6620,"Beetle Kill 2018, Lab, Tree 4, Dead",Lab,lab.4,nobase,live,,,24.28,16.92,0.28
6621,"Beetle Kill 2018, Lab, Tree 4 base, Dead",Lab,lab.4,base,live,,,36.59,24.79,0.26
6622,"Beetle Kill 2018, Lab, Tree 5, Dead",Lab,lab.5,nobase,live,,,29.84,20.38,0.24
6623,"Beetle Kill 2018, Lab, Tree 6, Dead",Lab,lab.6,nobase,live,,,37.34,27.67,0.24
6624,"Beetle Kill 2018, Lab, Tree 7 base, Live",Lab,lab.7,base,live,,,27.29,16.98,0.28
6625,"Beetle Kill 2018, Lab, Tree 7, Live",Lab,lab.7,nobase,live,,,30.97,20.01,0.23
